id,body,created_at,symbol
226566043,"⚠️ A trading or investing lesson worth soaking in: One of the biggest misconception 90% traders all have is if they don’t sell a losing position they don’t have a loss. It’s further from the truth. A stock loss whether you keeping it or sold it is a loss period. Imagine if your car is damaged and decided not to repair it at any given moment in time it’s a loss Until the car is fixed by you or if the car insurance chips in the cost of repair. Don’t cloud your DD judgement with this incorrect mindset. $LK $ALT $SORO $CEMI","2020-07-09T20:25:08Z",""
226570288,"$CEMI i have 200,000 share bids in now shorts keep shorting I love buying these shares from your shorting to me.","2020-07-09T20:39:54Z","CEMI"
226622602,"$SPAQ there is additional more info and traders sentiment on Fisker and Spartan reversed merger combination. It looks like it may go through next week. http://www.thelion.com/bin/aio_msg.cgi?cmd=search&amp;symbol=Spaq","2020-07-10T01:13:47Z","SPAQ"
226623208,"$SPCE there is whole bunch of trader chatters about Virgin Galactic wild move today being fishy but here are some answers you just have to dig in yourself. http://www.thelion.com/bin/aio_msg.cgi?cmd=search&amp;symbol=Spce","2020-07-10T01:17:31Z","SPCE"
226623889,"$NIO a few traders are talking up NIO being the second EV car maker to hit over $50B valuation besides $TSLA if this is true congrat to you faithful longs in this stock. http://www.thelion.com/bin/aio_msg.cgi?cmd=search&amp;symbol=Nio","2020-07-10T01:21:38Z","NIO"
226637946,"$CEMI we just broke out the most important - 3 weeks resistance - with 2 strong closing days confirmation. Best chart to watch here. Next quick stop $6 to $7s as the price volume momentum  will continue. $NVAX $INO $ALT $APT","2020-07-10T03:01:06Z","CEMI"
226638716,"$CEMI I welcome all shorts shorting this stock again tomorrow.","2020-07-10T03:07:25Z","CEMI"
226649321,"$ADOM I’m out of this stock weeks ago but I first mentioned it here beginning of the EV trading boom.","2020-07-10T04:57:59Z","ADOM"
226711975,"‪In $SUP here on EV sector boom. Superior is now selling EV wheels to Tesla $TSLA and recently signed a huge OEM deal. $WKHS $SOLO $NIO","2020-07-10T13:59:09Z","SUP"
226715534,"$SUP huge undiscovered player in hot EV sector supplying all EV makers premium light weight alum wheels including a huge OEM deal with Tesla. $TSLA $AYRO $ADOM $SOLO https://www.autonews.com/article/20180618/OEM10/180619829/superior-to-take-ev-wheels-for-stylish-spin","2020-07-10T14:07:25Z","SUP"
226716185,"$CEMI resistance is so futile here exactly trading action as $ALT last week and shorts got blown up this week.","2020-07-10T14:08:54Z","CEMI"
226718568,"$SUP this is same early good EV stock pick alert as $AYRO $SOLO all up 150% to 200% in days and $NKLA alert couple days ago that I’ve given recently also $ADOM up 200% since alert as well less than a month ago.","2020-07-10T14:14:35Z","SUP"
226719252,"$CEMI study this - Do NOT short.","2020-07-10T14:16:10Z","CEMI"
226743537,"‪⚠️ New updates rollout this weekend @ www.TheLion.com our AI-based stock msg search tool will now include all twit feeds. * Now with additional over 500,000,000 new data for you to screen for in your stock msg search. $TSLA $AAPL $LK $NKLA $AMZN $NFLX $BABA $NVAX $CEMI‬","2020-07-10T15:19:50Z",""
226880926,"$WIMI hologram AR sector momo watch for $CETX huge gains Monday. $WKHS $VUZI $LK","2020-07-10T21:28:50Z","VUZI,CETX,WKHS,LK,WIMI"
226883382,"$WIMI $CETX $VUZI will be real hot as AR Holographic plays Monday. https://cemtrexlabs.com/mixedreality/","2020-07-10T21:37:52Z","VUZI,CETX,WIMI"
226884379,"$CETX we are back at Cemtrex. This company has the best holographic overlay technology for video conferencing and online digital advertising. Workflow and whole bunch AR VR applications. $WIMI $VUZI $SOLO","2020-07-10T21:41:32Z","VUZI,CETX,SOLO,WIMI"
226888054,"$CETX best pure play off $WIMI holographic AR sector momentum  as Cemtrex is gaining strong momentum in this space as well. Kudos to all the Cemtrex investors. This is a great company. They got multiple AR VR divisions. https://finance.yahoo.com/news/cemtrex-inc-cetx-provides-business-130010494.html $","2020-07-10T21:57:13Z","CETX,WIMI"
226936920,"$CEMI awesome week here for the longs. I’m getting great DD info will share immediately even this weekend when i get it. Have a wonderful and relaxing weekend.","2020-07-11T01:20:52Z","CEMI"
226938880,"$SINT CNBC and Jim Cramer crew is airing an hour show on new face mask technology needed segment on Mad Money afterhour close Monday. $APT $AHPI $CEMI","2020-07-11T01:30:21Z","APT,AHPI,SINT,CEMI"
226938938,"$SINT get ready.","2020-07-11T01:30:42Z","SINT"
226941609,"$CETX this is a gem with 100% ownership in hot hologram and AR VR technology it possesses same as $WIMI here. Cemtrex got 2 divisions working on hologram and virtual reality augmented reality technology and has some big league clients they are working with. $VUZI https://www.cemtrex.com/about-us/#our-companies","2020-07-11T01:42:59Z","VUZI,CETX,WIMI"
226942014,"Virtual meetings like Jack Ma presentation today using $WIMI  - Virtual and augmented realities are reshaping every facet of our lives, from our homes to our offices. Imagine complex assembly processes aided by augmented reality glasses. Virtual meetings that actually feel like you’re in the same room. Cemtrex VR stands on the forefront of the forthcoming VR/AR revolution.","2020-07-11T01:44:55Z","WIMI"
226950449,"$CEMI picked up 180,000 shares near close today.","2020-07-11T02:29:09Z","CEMI"
226966881,"$WIMI there is important info on WIMi Hologram on other sites you need to be aware. Also knowing what the stock sentiment will be this coming Monday. Spent the time to do your homework this weekend. Also check out $CETX Cemtrex hologram stock one of the leaders based in United States in this space as well. http://www.thelion.com/bin/aio_msg.cgi?cmd=search&amp;symbol=Wimi","2020-07-11T04:08:32Z","CETX,WIMI"
227007160,"$CEMI the current testing environment for covid19 is failing us big time. Too time consuming and testing results takes 3 weeks to get back! Chembio will be the king of testing in a few weeks and capture the biggest market share worldwide. I truly Believe we could see $CEMI stock price $100 in a year. $NVAX $INO $VXRT https://www.theatlantic.com/science/archive/2020/06/us-coronavirus-testing-could-fail-again/613675/","2020-07-11T15:07:20Z","INO,NVAX,VXRT,CEMI"
227007689,"$CEMI 99% of traders are fallen asleep just like $ALT when it was $3s and $NVAX at $4s. The rapid scalability of Chembio will truly be the greatest investment here with its own huge manufacturing already in place and all tests are made in the USA. They will own the biggest covid19 testing market share coming (their new super accurate 15 min tester will doninate all competition). Their newly updated covid19 essay already been tested and received extreme positive feedback from their clients. The emergency FDA approval be done so quickly because we have a huge huge crisis now. Stock target $20 by August expect the FDA approval by then. $CODX $GNMK $ALT","2020-07-11T15:15:21Z","NVAX,ALT,GNMK,CEMI,CODX"
227007865,"$CEMI will be adding up to 1M shares more next week. This is the investment of a lifetime. Imagine if you are given a second chance to invest in $NVAX or $ALT","2020-07-11T15:18:00Z","NVAX,ALT,CEMI"
227008084,"@KLo24 no $SRNE they are not reputable and no manufacturing.","2020-07-11T15:21:16Z","SRNE"
227009452,"$CEMI when $ALT fell just $0.50 after my second alert last week when it moved up $1 many shorts all piled on and rejoiced like crazy. I warned them all not to short. Look at $ALT 140% gain this week. I’ve actually gotten PMs from some shorts buddies some traders blew up their account shorting $ALT from last week. Ouch. You shorts can rejoice the $0.20 win on Friday you pathetic retail shorts. Do not short $CEMI I’m warning you shorts here I’m watching level 3 and seeing bunch dumb retail shorts in this stock. $SRNE $INO","2020-07-11T15:40:34Z","INO,ALT,SRNE,CEMI"
227046303,"$CETX this company hologram for video conferencing and workflow will be huge. Imagine you can physically be at a location but isn’t this is the essence of Jack Ma using WiMi Hologram Cloud to conduct his live trade show conference to all the attendees Friday. It’s prob going to be used much more widely than just AR and VR where people are in virtual worlds. $WIMI $UAVS $WKHS","2020-07-11T20:07:44Z","CETX,WKHS,UAVS,WIMI"
